dg;out;pred;b;b_se;z;p;OR;OR_CI95;flag
IH;Fatigue;ESS_sc;0.554;0.381;1.456;0.145;1.74;[0.79, 3.86];
IH;Fatigue;FSS_sc;0.664;0.407;1.633;0.103;1.94;[0.84, 4.48];
IH;Fatigue;NSS_sc;;;;;;;
IH;Imperative_sleepiness;ESS_sc;1.051;0.770;1.366;0.172;2.86;[0.53, 15.52];
IH;Imperative_sleepiness;FSS_sc;0.368;0.700;0.525;0.599;1.44;[0.34, 6.13];
IH;Imperative_sleepiness;NSS_sc;;;;;;;
IH;Falling_asleep_in_calm_situations;ESS_sc;0.175;0.496;0.352;0.725;1.19;[0.42, 3.37];
IH;Falling_asleep_in_calm_situations;FSS_sc;1.203;0.813;1.480;0.139;3.33;[0.60, 18.55];
IH;Falling_asleep_in_calm_situations;NSS_sc;;;;;;;
NT1;Fatigue;ESS_sc;0.287;0.287;0.998;0.318;1.33;[0.58, 3.07];
NT1;Fatigue;FSS_sc;1.504;0.486;3.092;0.002;4.50;[1.54, 13.15];:-)
NT1;Fatigue;NSS_sc;0.202;0.275;0.736;0.462;1.22;[0.57, 2.63];
NT1;Imperative_sleepiness;ESS_sc;0.207;0.263;0.786;0.432;1.23;[0.62, 2.43];
NT1;Imperative_sleepiness;FSS_sc;0.602;0.308;1.955;0.051;1.83;[0.95, 3.50];
NT1;Imperative_sleepiness;NSS_sc;0.497;0.276;1.801;0.072;1.64;[0.82, 3.29];
NT1;Falling_asleep_in_calm_situations;ESS_sc;0.022;0.281;0.077;0.939;1.02;[0.50, 2.08];
NT1;Falling_asleep_in_calm_situations;FSS_sc;0.178;0.293;0.608;0.543;1.20;[0.63, 2.26];
NT1;Falling_asleep_in_calm_situations;NSS_sc;-0.030;0.280;-0.106;0.916;0.97;[0.47, 1.99];
NT2;Fatigue;ESS_sc;0.989;0.598;1.654;0.098;2.69;[0.55, 13.27];
NT2;Fatigue;FSS_sc;-0.108;0.503;-0.215;0.830;0.90;[0.01, 65.41];
NT2;Fatigue;NSS_sc;0.280;0.512;0.546;0.585;1.32;[0.02, 102.50];
NT2;Imperative_sleepiness;ESS_sc;-0.000;54000.031;-0.000;1.000;1.00;[0.00, Inf];
NT2;Imperative_sleepiness;FSS_sc;-0.000;54000.031;-0.000;1.000;1.00;[0.00, Inf];
NT2;Imperative_sleepiness;NSS_sc;-0.000;54000.031;-0.000;1.000;1.00;[0.00, Inf];
NT2;Falling_asleep_in_calm_situations;ESS_sc;0.767;0.692;1.108;0.268;2.15;[0.04, 109.88];
NT2;Falling_asleep_in_calm_situations;FSS_sc;-0.157;0.663;-0.237;0.812;0.85;[0.00, 6441.60];
NT2;Falling_asleep_in_calm_situations;NSS_sc;-1.045;0.780;-1.340;0.180;0.35;[0.00, 7613.08];
